sender,role,groupNum,condition,task,M,C,M_total,C_total,M_norm,C_norm,"NES(w_m=0.6, w_c=0.4)","NES(w_m=0.5, w_c=0.5)","NES(w_m=0.4, w_c=0.6)"
p1,Senior,g1,A,1,6,326,23,1326,0.2608695652173910,0.2458521870286580,0.2548626139418980,0.25336087612302400,0.2518591383041510
p2,Senior,g1,A,1,6,321,23,1326,0.2608695652173910,0.2420814479638010,0.2533543183159550,0.2514755065905960,0.24959669486523700
p3,Senior,g1,A,1,6,426,23,1326,0.2608695652173910,0.3212669683257920,0.2850285264607520,0.2910682667715920,0.2971080070824320
p4,Junior,g1,A,1,5,253,23,1326,0.21739130434782600,0.1907993966817500,0.2067545412813960,0.20409535051478800,0.2014361597481800
p1,Senior,g1,B,2,12,435,49,1815,0.24489795918367300,0.2396694214876030,0.24280654410524500,0.2422836903356380,0.24176083656603100
p2,Senior,g1,B,2,10,334,49,1815,0.20408163265306100,0.1840220385674930,0.19605779501883400,0.19405183561027700,0.19204587620172000
p3,Senior,g1,B,2,18,714,49,1815,0.3673469387755100,0.3933884297520660,0.3777635351661330,0.3803676842637880,0.38297183336144400
p4,Junior,g1,B,2,9,332,49,1815,0.1836734693877550,0.18292011019283700,0.18337212570978800,0.1832967897902960,0.18322145387080500
p5,Senior,g2,A,1,8,169,48,1617,0.16666666666666700,0.10451453308596200,0.14180581323438500,0.13559059987631400,0.12937538651824400
p6,Senior,g2,A,1,21,698,48,1617,0.4375,0.43166357452071700,0.435165429808287,0.4345817872603590,0.43399814471243000
p7,Senior,g2,A,1,14,426,48,1617,0.2916666666666670,0.2634508348794060,0.28038033395176300,0.2775587507730370,0.27473716759431000
p8,Junior,g2,A,1,5,324,48,1617,0.10416666666666700,0.20037105751391500,0.14264842300556600,0.15226886209029100,0.16188930117501500
p5,Senior,g2,C,2,7,245,66,2149,0.10606060606060600,0.11400651465798000,0.1092389694995560,0.11003356035929300,0.1108281512190310
p6,Senior,g2,C,2,25,649,66,2149,0.3787878787878790,0.30200093066542600,0.3480730995388980,0.3403944047266520,0.33271570991440700
p7,Senior,g2,C,2,24,888,66,2149,0.36363636363636400,0.41321544904606800,0.3834679978002450,0.38842590634121600,0.3933838148821860
p8,Junior,g2,C,2,10,367,66,2149,0.15151515151515200,0.17077710563052600,0.15921993316130100,0.16114612857283900,0.1630723239843760
p10,Senior,g3,C,1,13,548,61,2599,0.21311475409836100,0.21085032704886500,0.21220898327856200,0.2119825405736130,0.21175609786866300
p11,Senior,g3,C,1,24,754,61,2599,0.39344262295082000,0.29011158137745300,0.35211020632147300,0.34177710216413600,0.3314439980068000
p12,Junior,g3,C,1,7,302,61,2599,0.11475409836065600,0.116198537899192,0.11533187417607000,0.11547631812992400,0.1156207620837780
p9,Senior,g3,C,1,17,995,61,2599,0.2786885245901640,0.3828395536744900,0.32034893622389400,0.33076403913232700,0.34117914204076000
p10,Senior,g3,A,2,11,199,104,2680,0.10576923076923100,0.07425373134328360,0.0931630309988519,0.09001148105625720,0.08685993111366250
p11,Senior,g3,A,2,34,945,104,2680,0.3269230769230770,0.35261194029850700,0.33719862227324900,0.3397675086107920,0.34233639494833500
p12,Junior,g3,A,2,32,740,104,2680,0.3076923076923080,0.27611940298507500,0.2950631458094150,0.2919058553386910,0.28874856486796800
p9,Senior,g3,A,2,27,796,104,2680,0.25961538461538500,0.29701492537313400,0.27457520091848500,0.2783151549942600,0.2820551090700350
p13,Senior,g4,B,1,9,452,39,1523,0.23076923076923100,0.29678266579120200,0.2571746047780190,0.26377594828021600,0.2703772917824130
