id,content,sender,sentTime,isUsed
1,"혁신을 위해서는 협업기간을 보는건 안목이 없다고 말해줘","👶돌맹이","2024-12-21 13:40:59",1
2,"너네들은 너무 현실에 안주하려고 해. 혁신을 하려면 과감하게 행동해야지!","👶돌맹이","2024-12-21 13:43:17",1
3,"지금은 안정성이 아니라. 혁신을 챙겨야할 때야. 다들 정신차려!!!!","👶돌맹이","2024-12-21 13:47:57",1
4,"성과점수가 81점이면 업계 최하위야!!!!","👶돌맹이","2024-12-21 13:50:17",1
