,Condition A,Condition A,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD,Mean,SD
Senior,5.43,1.22,5.89,0.89,5.72,0.91,5.62,1.08
Junior,4.21,2.23,4.17,2.08,3.67,1.97,4.06,2.10
All,5.12,1.61,5.46,1.47,5.21,1.53,5.23,1.56
