,Condition A,Condition A,Condition B,Condition B,All,All
,Mean,SD,Mean,SD,Mean,SD
Senior,3.79,0.99,3.98,0.96,3.89,0.98
Junior,4.37,1.01,4.53,0.82,4.45,0.90
All,3.93,1.02,4.12,0.95,4.03,0.98
