,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD
Senior,3.72,1.49,3.75,1.79,3.74,1.64
Junior,3.58,1.98,4.17,1.34,3.88,1.68
All,3.69,1.60,3.85,1.69,3.77,1.64
