,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD
Senior,4.11,1.70,4.19,1.72,4.15,1.70
Junior,4.00,1.71,3.17,1.99,3.58,1.86
All,4.08,1.69,3.94,1.83,4.01,1.75
