,Condition A,Condition A,Condition B,Condition B,All,All
,Mean,SD,Mean,SD,Mean,SD
Senior,5.94,1.07,6.17,0.91,6.06,0.99
Junior,3.67,2.23,4.08,2.15,3.88,2.15
All,5.38,1.73,5.65,1.59,5.51,1.66
