,Condition A,Condition A,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD,Mean,SD
Senior,5.85,1.19,6.33,0.72,5.83,1.28,5.97,1.13
Junior,3.83,2.14,5.08,1.98,3.25,1.76,4.00,2.08
All,5.34,1.72,6.02,1.26,5.19,1.79,5.47,1.66
