,Condition A,Condition A,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD,Mean,SD
Senior,5.58,1.03,5.78,0.96,5.47,1.08,5.60,1.03
Junior,3.83,1.69,4.92,1.78,3.83,1.53,4.10,1.70
All,5.15,1.44,5.56,1.25,5.06,1.39,5.23,1.39
