,Condition A,Condition A,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD,Mean,SD
Senior,5.78,1.08,6.17,0.91,5.81,0.89,5.88,1.00
Junior,4.25,2.05,4.08,2.15,3.17,1.53,3.94,1.97
All,5.40,1.53,5.65,1.59,5.15,1.57,5.40,1.56
