,Condition A,Condition A,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD,Mean,SD
Senior,1.68,0.82,1.39,0.60,1.86,0.87,1.65,0.80
Junior,3.46,2.23,2.92,2.19,4.42,2.02,3.56,2.19
All,2.12,1.52,1.77,1.36,2.50,1.66,2.13,1.53
