,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD
Senior,3.72,1.67,4.22,1.79,3.97,1.74
Junior,4.00,1.86,3.00,1.95,3.50,1.93
All,3.79,1.70,3.92,1.89,3.85,1.79
