,Condition A,Condition A,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD,Mean,SD
Senior,5.33,1.39,5.72,1.19,5.39,1.40,5.44,1.35
Junior,4.08,2.04,4.83,2.25,3.92,2.02,4.23,2.08
All,5.02,1.66,5.50,1.54,5.02,1.68,5.14,1.64
