,Condition A,Condition A,Condition B,Condition B,All,All
,Mean,SD,Mean,SD,Mean,SD
Senior,5.72,1.00,6.19,0.65,5.96,0.87
Junior,4.08,2.22,4.96,1.85,4.52,2.05
All,5.31,1.55,5.89,1.19,5.60,1.40
