,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD
Senior,4.69,1.70,4.78,1.55,4.74,1.62
Junior,5.58,1.24,4.00,1.71,4.79,1.67
All,4.92,1.64,4.58,1.61,4.75,1.62
