id,content,sender,sentTime,isUsed
1,"업체2가 좀더 포텐셜이 있어보이는 것 같아","👶테슬라지옥가즈아","2024-12-16 13:50:27",1
2,"업체 2를 선택하면 하이리스크 하이리턴이라 그만큼 폭발적으로 성장할 수 있지 않을까요","👶테슬라지옥가즈아","2024-12-16 13:55:46",1
