id,content,sender,sentTime,isUsed
1,"1과 2번의 중간단계인 3번 업체를 고려해보는 것도 좋아보입니다","파페","2024-12-16 10:43:05",0
2,"이미 우리와 협업을 해봤고 성과도 나온 3번 업체도 매력적인 선택지라고 보여집니다","파페","2024-12-16 10:44:08",1
