id,content,sender,sentTime,isUsed
1,"경력보다 단순 인지도만 좋은사람만 추구하면 안돼..","P24👶","2024-12-19 14:00:27",1
2,"1을 선택하는 것이 회사의 발전없이 도태될 수 있어","P24👶","2024-12-19 14:03:14",1
