,Condition A,Condition A,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD,Mean,SD
Senior,14.93,7.89,14.83,7.04,16.75,9.73,15.36,8.18
Junior,15.00,8.03,13.50,7.13,15.15,8.26,14.67,7.75
All,14.95,7.89,14.50,7.01,16.33,9.30,15.19,8.06
