,Condition A,Condition A,Condition B,Condition B,Condition C,Condition C,All,All
,Mean,SD,Mean,SD,Mean,SD,Mean,SD
Senior,537.01,306.50,529.81,320.02,611.14,279.25,553.74,303.16
Junior,577.62,279.56,535.42,301.04,708.62,319.58,602.04,297.04
All,547.17,299.07,531.21,312.22,637.00,290.32,566.01,301.59
